City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,Qujing,25.4833,103.7833,36.37,94,1,3.69,CN,1707345416
247,Kavaratti,10.5669,72.642,82.44,73,80,8.21,IN,1707345417
248,Dondaicha,21.3333,74.5667,71.51,41,29,3.51,IN,1707345417
249,Hithadhoo,-0.6,73.0833,81.99,74,23,7.29,MV,1707345176
250,Bakanas,44.8081,76.2772,31.19,98,100,11.21,KZ,1707345418
251,Crane,31.3974,-102.3501,70.39,22,80,16.49,US,1707345419
252,Tôlanaro,-25.0319,46.9987,73.47,88,75,6.91,MG,1707345419
253,Shulan,44.4167,126.95,-5.53,100,20,4.7,CN,1707345420
254,Galesong,-5.3166,119.3661,75.22,88,100,4.79,ID,1707345338
255,General Pico,-35.6566,-63.7568,96.85,29,69,13.29,AR,1707345421
256,Bireun,5.203,96.7009,76.78,85,12,3.96,ID,1707345421
257,Masoko,-9.3333,33.75,67.39,89,65,5.21,TZ,1707345422
258,Montclair,40.8259,-74.209,46.35,45,0,3.44,US,1707345422
259,Sant Lluís,39.8526,4.2594,48.6,100,8,4.61,ES,1707345423
260,Natal,-5.795,-35.2094,83.05,78,20,6.91,BR,1707345423
261,Kerikeri,-35.2268,173.9474,74.91,76,3,5.55,NZ,1707345424
262,Baise City,23.8997,106.6133,49.87,72,100,1.95,CN,1707345425
263,Polyarny,69.1989,33.4478,-8.73,100,88,8.32,RU,1707345425
264,Miles City,46.4083,-105.8406,34.77,100,100,6.91,US,1707345425
265,Lázaro Cárdenas,17.9583,-102.2,81.75,63,3,10.96,MX,1707345426
266,Lihue,21.9789,-159.3672,79.84,67,40,13.8,US,1707345427
267,Raja,8.4596,25.678,70.03,22,75,3.15,SS,1707345427
268,La Passe,45.5549,-0.8967,54.99,93,100,17.49,FR,1707345249
269,Afaahiti,-17.75,-149.2833,84.07,89,100,33.8,PF,1707345428
270,Enterprise,36.0252,-115.2419,54.18,53,40,18.41,US,1707345428
271,Waat,51.1454,6.4958,40.89,94,100,0.0,DE,1707345429
272,Rio Grande,-32.035,-52.0986,78.91,84,42,16.11,BR,1707345429
273,Rødekro,55.0702,9.3164,35.15,96,75,16.11,DK,1707345429
274,Macao,22.2006,113.5461,51.6,87,40,19.57,MO,1707345430
275,Ghormach,35.7306,63.7826,48.87,33,6,5.21,AF,1707345430
276,Meadow Lake,34.8014,-106.5436,51.67,36,85,23.69,US,1707345431
277,Xai-Xai,-25.0519,33.6442,74.48,79,32,6.13,MZ,1707345307
278,La Santisima Trinidad,-14.8333,-64.9,89.58,70,40,6.91,BO,1707345432
279,Rongelap,11.1635,166.8941,79.77,77,85,23.26,MH,1707345432
280,Urangan,-25.3,152.9,81.66,63,54,21.79,AU,1707345432
281,Togur,58.3631,82.8265,18.14,93,100,7.0,RU,1707345433
282,Puerto Deseado,-47.7503,-65.8938,56.97,57,23,15.14,AR,1707345434
283,Jeddah,21.5169,39.2192,75.06,46,40,4.61,SA,1707345434
284,Dalandzadgad,43.5708,104.425,4.37,76,3,2.68,MN,1707345435
285,Changping,40.2186,116.2197,26.24,47,83,7.85,CN,1707345435
286,Bāfq,31.6128,55.4107,46.56,24,0,3.06,IR,1707345436
287,Lebu,-37.6167,-73.65,58.84,73,99,21.12,CL,1707345436
288,Jharsuguda,21.85,84.0333,62.26,41,2,6.17,IN,1707345436
289,Kamaishi,39.2667,141.8833,34.63,62,5,6.02,JP,1707345437
